Time,N-S Acceleration (𝑚∕𝑠^2 )(392 m),E-W Acceleration (𝑚∕𝑠^2 ) (392 m),Z Acceleration (𝑚∕𝑠^2 ) (392 m),N-S Acceleration (𝑚∕𝑠^2 ) (494 m),E-W Acceleration (𝑚∕𝑠^2 ) (494 m),Z Acceleration (𝑚∕𝑠^2 ) (494 m),,
07:58:00.435,0.014788857,-0.005143215,-0.004725928,0.01922877,-0.019658947,-0.03278167,,
07:58:00.440,0.014807416,-0.005153283,-0.004734524,0.019258736,-0.019682655,-0.032823395,,
07:58:00.445,0.014827102,-0.005163409,-0.004742376,0.019288627,-0.019706055,-0.032865934,,
07:58:00.450,0.014846223,-0.005173511,-0.004750615,0.019318172,-0.019730065,-0.032907964,,
07:58:00.455,0.01486511,-0.005183996,-0.004759286,0.019348883,-0.019753997,-0.032950271,,
07:58:00.460,0.014884517,-0.005194447,-0.004767283,0.019378742,-0.019777897,-0.032992345,,
07:58:00.465,0.01490406,-0.005204516,-0.004775438,0.01940754,-0.019801752,-0.033034534,,
07:58:00.470,0.014923151,-0.005214481,-0.004784197,0.019438732,-0.0198254,-0.033076232,,
07:58:00.475,0.014941929,-0.00522469,-0.004792484,0.019469111,-0.019849626,-0.033119068,,
07:58:00.480,0.014962145,-0.005234669,-0.004800355,0.019497264,-0.019873727,-0.033160982,,
07:58:00.485,0.014981198,-0.005244938,-0.004808886,0.019528305,-0.01989696,-0.033202954,,
07:58:00.490,0.014999653,-0.005255393,-0.004817623,0.019559682,-0.019921085,-0.033245649,,
07:58:00.495,0.015019423,-0.005265564,-0.004825401,0.019587827,-0.019944907,-0.033286915,,
07:58:00.500,0.015038826,-0.005275644,-0.004833759,0.019617348,-0.019968368,-0.033329567,,
07:58:00.505,0.015057732,-0.005285823,-0.004842652,0.019648522,-0.019992977,-0.03337243,,
07:58:00.510,0.015077316,-0.005296299,-0.004850877,0.01967931,-0.020016323,-0.033414106,,
07:58:00.515,0.015096387,-0.005306436,-0.004858902,0.019707413,-0.020040055,-0.033456114,,
07:58:00.520,0.01511551,-0.005316468,-0.004867903,0.019737742,-0.020063509,-0.033499017,,
07:58:00.525,0.015134974,-0.005326929,-0.004876587,0.019768992,-0.020087646,-0.033541236,,
07:58:00.530,0.015154006,-0.005337466,-0.004884398,0.019798371,-0.020112176,-0.033582747,,
07:58:00.535,0.015173218,-0.005347742,-0.004893272,0.019827928,-0.020135064,-0.033624922,,
07:58:00.540,0.015193041,-0.00535791,-0.00490217,0.019858765,-0.020159803,-0.033667242,,
07:58:00.545,0.015211606,-0.005368429,-0.004909857,0.019888552,-0.02018368,-0.033709292,,
07:58:00.550,0.015230717,-0.005378445,-0.004918077,0.019917318,-0.020206713,-0.033751168,,
07:58:00.555,0.015250104,-0.005388906,-0.00492726,0.019948284,-0.020231348,-0.033793437,,
07:58:00.560,0.01526954,-0.005399478,-0.004935065,0.019978536,-0.020255676,-0.033836067,,
07:58:00.565,0.015288303,-0.005409814,-0.004942691,0.020008342,-0.020279127,-0.033877856,,
07:58:00.570,0.015307897,-0.005420223,-0.004951695,0.020038384,-0.020303071,-0.033920262,,
07:58:00.575,0.01532743,-0.005430527,-0.004960272,0.020069222,-0.020327574,-0.03396299,,
07:58:00.580,0.015345146,-0.00544087,-0.004967736,0.020098882,-0.020350981,-0.034004365,,
07:58:00.585,0.015365084,-0.005451162,-0.004976392,0.020128528,-0.020374572,-0.034046214,,
07:58:00.590,0.015384515,-0.005461687,-0.004985736,0.020159506,-0.020399355,-0.034088818,,
07:58:00.595,0.015404037,-0.005471747,-0.004993539,0.020188009,-0.020422905,-0.034131112,,
07:58:00.600,0.015422744,-0.005482167,-0.005002074,0.020217632,-0.020446562,-0.034173425,,
07:58:00.605,0.015442028,-0.005492762,-0.005011359,0.020249619,-0.020470812,-0.034215743,,
07:58:00.610,0.015462255,-0.005503367,-0.005019485,0.020279771,-0.020494539,-0.034257913,,
07:58:00.615,0.015480402,-0.005513351,-0.005027302,0.020308545,-0.020518523,-0.034299387,,
07:58:00.620,0.015499885,-0.005523964,-0.005036387,0.020339484,-0.020542316,-0.034342045,,
07:58:00.625,0.015518689,-0.005534677,-0.005044963,0.020370625,-0.020565745,-0.034383745,,
07:58:00.630,0.015538087,-0.005544527,-0.005052528,0.02039766,-0.020589991,-0.034424729,,
07:58:00.635,0.015557258,-0.005555038,-0.005061265,0.020428722,-0.02061452,-0.034467701,,
07:58:00.640,0.015575603,-0.00556585,-0.005070331,0.02046052,-0.020638466,-0.034509938,,
07:58:00.645,0.015595541,-0.005576231,-0.005077962,0.020488621,-0.020662076,-0.034552311,,
07:58:00.650,0.015614632,-0.005586466,-0.005086293,0.020518777,-0.02068649,-0.034593776,,
07:58:00.655,0.015633628,-0.005597318,-0.005095479,0.020549525,-0.020710339,-0.034635893,,
07:58:00.660,0.015653098,-0.005607905,-0.005103117,0.020578861,-0.020734181,-0.034678507,,
07:58:00.665,0.015671613,-0.005617787,-0.005110751,0.020609169,-0.020758333,-0.03471996,,
07:58:00.670,0.01569131,-0.005628296,-0.005119923,0.020639403,-0.020782555,-0.03476256,,
07:58:00.675,0.015710321,-0.005639267,-0.005128682,0.020670859,-0.02080665,-0.034805319,,
07:58:00.680,0.015728742,-0.005649548,-0.005136163,0.020699558,-0.020830116,-0.034846565,,
07:58:00.685,0.01574874,-0.005659773,-0.005145454,0.020728658,-0.020854134,-0.034888047,,
07:58:00.690,0.015767757,-0.005670151,-0.005154782,0.020761168,-0.020878677,-0.034930485,,
07:58:00.695,0.015786225,-0.005680652,-0.005162185,0.020790626,-0.020901832,-0.034972645,,
07:58:00.700,0.015805526,-0.005691104,-0.005170492,0.020819849,-0.020925742,-0.035014439,,
07:58:00.705,0.015825775,-0.005701758,-0.005180045,0.020850209,-0.020950617,-0.035056292,,
07:58:00.710,0.015844704,-0.005712709,-0.005188248,0.020880663,-0.020974429,-0.035098794,,
07:58:00.715,0.015862861,-0.005723001,-0.00519594,0.02091008,-0.020998163,-0.035141027,,
07:58:00.720,0.01588263,-0.005733606,-0.005205614,0.020940545,-0.021022202,-0.035183023,,
07:58:00.725,0.015902656,-0.005744351,-0.005214466,0.020970416,-0.021046662,-0.035225431,,
07:58:00.730,0.015921643,-0.005754485,-0.005221887,0.020999303,-0.021070697,-0.035267293,,
07:58:00.735,0.015939661,-0.005765116,-0.005230839,0.021030882,-0.021094378,-0.035308785,,
07:58:00.740,0.015959004,-0.005775761,-0.005240322,0.021060252,-0.021118747,-0.035350725,,
07:58:00.745,0.015978502,-0.005785911,-0.005247584,0.021089299,-0.021143287,-0.035392494,,
07:58:00.750,0.015996323,-0.005797032,-0.005255703,0.021119706,-0.021166093,-0.035434268,,
07:58:00.755,0.016015556,-0.005808218,-0.005265309,0.021150307,-0.021190396,-0.035476515,,
07:58:00.760,0.016035902,-0.005818599,-0.005273137,0.021180557,-0.021215329,-0.035517443,,
07:58:00.765,0.016054299,-0.005828941,-0.005280765,0.021209267,-0.021238521,-0.035558717,,
07:58:00.770,0.016072723,-0.005839494,-0.005290409,0.021240041,-0.021262906,-0.035601302,,
07:58:00.775,0.016092621,-0.005850424,-0.005299259,0.021271215,-0.021286961,-0.035643621,,
07:58:00.780,0.016111583,-0.005860326,-0.005306679,0.021299088,-0.0213102,-0.035684944,,
07:58:00.785,0.016129918,-0.005870772,-0.005316189,0.021329092,-0.021334573,-0.035727146,,
07:58:00.790,0.0161496,-0.005882368,-0.005325778,0.021361565,-0.021358459,-0.035770139,,
07:58:00.795,0.016167848,-0.005892832,-0.005333223,0.02138969,-0.021382133,-0.035811212,,
07:58:00.800,0.016187016,-0.005902505,-0.005341414,0.021418191,-0.021406572,-0.035852519,,
07:58:00.805,0.016207176,-0.005913803,-0.005351689,0.021451225,-0.021430706,-0.035895262,,
07:58:00.810,0.01622567,-0.005925045,-0.005359437,0.021481627,-0.021454398,-0.035936921,,
07:58:00.815,0.016244129,-0.005935236,-0.005366821,0.021507965,-0.021478553,-0.035977456,,
07:58:00.820,0.016263548,-0.005946037,-0.005377108,0.021538819,-0.021502596,-0.036019283,,
07:58:00.825,0.016282584,-0.005957243,-0.005385913,0.021571909,-0.021526161,-0.036061468,,
07:58:00.830,0.016301337,-0.005967759,-0.00539252,0.021598676,-0.021550695,-0.036102006,,
07:58:00.835,0.016319376,-0.005978536,-0.005401689,0.021627048,-0.02157493,-0.036143497,,
07:58:00.840,0.01633946,-0.005989065,-0.005411551,0.021660074,-0.021598646,-0.036186311,,
07:58:00.845,0.016358337,-0.005999455,-0.005418308,0.02168878,-0.021623645,-0.036227637,,
07:58:00.850,0.016376063,-0.006010094,-0.005426066,0.021715881,-0.021646865,-0.036268587,,
07:58:00.855,0.016395698,-0.006020822,-0.005436242,0.021748801,-0.021671025,-0.036311115,,
07:58:00.860,0.016414476,-0.006031552,-0.005444195,0.02177885,-0.021695945,-0.036353033,,
07:58:00.865,0.016432636,-0.006042059,-0.005451403,0.021806272,-0.021719851,-0.036393574,,
07:58:00.870,0.016451563,-0.006052664,-0.005461577,0.021838015,-0.021743965,-0.0364353,,
07:58:00.875,0.016470872,-0.006064103,-0.005470291,0.021869167,-0.021767966,-0.036477452,,
07:58:00.880,0.016490024,-0.0060742,-0.005476964,0.021895897,-0.02179118,-0.036518373,,
07:58:00.885,0.016509427,-0.006083912,-0.005486321,0.021926438,-0.02181411,-0.036559707,,
07:58:00.890,0.016527939,-0.006095233,-0.005495872,0.021960539,-0.021839279,-0.03660182,,
07:58:00.895,0.016545859,-0.006106437,-0.005502626,0.021988188,-0.021863433,-0.036643119,,
07:58:00.900,0.016564911,-0.006116389,-0.005510632,0.022015132,-0.021886157,-0.036683787,,
07:58:00.905,0.016585134,-0.006126787,-0.005521181,0.02204804,-0.021911237,-0.036726164,,
07:58:00.910,0.016603612,-0.006138142,-0.005529011,0.022078596,-0.021935922,-0.036767555,,
07:58:00.915,0.016620626,-0.006148955,-0.005536311,0.022105179,-0.021959106,-0.036807774,,
07:58:00.920,0.01664088,-0.006159469,-0.005546763,0.022135623,-0.021982464,-0.036849149,,
07:58:00.925,0.016660675,-0.006170548,-0.005555891,0.022167654,-0.022007393,-0.036890636,,
07:58:00.930,0.016676495,-0.006181456,-0.005562483,0.022195302,-0.022031667,-0.036931531,,
07:58:00.935,0.016694568,-0.006192112,-0.005571948,0.022223858,-0.022055106,-0.03697228,,
07:58:00.940,0.01671696,-0.006202398,-0.005582033,0.022255245,-0.022079919,-0.0370134,,
07:58:00.945,0.016734564,-0.006212742,-0.005588962,0.022284314,-0.022104155,-0.037055017,,
07:58:00.950,0.016750993,-0.006223895,-0.005596973,0.022312819,-0.022127248,-0.037096178,,
07:58:00.955,0.016772027,-0.006234939,-0.005607322,0.022343992,-0.022151559,-0.03713746,,
07:58:00.960,0.01679153,-0.006245502,-0.005615446,0.022372592,-0.022176004,-0.037178994,,
07:58:00.965,0.016808809,-0.006256229,-0.005622434,0.022401628,-0.022199525,-0.037220356,,
07:58:00.970,0.016826397,-0.006267944,-0.005632599,0.022432971,-0.022223827,-0.037262028,,
07:58:00.975,0.016846606,-0.006278459,-0.005641147,0.022463136,-0.022248024,-0.037303103,,
07:58:00.980,0.016865838,-0.006288849,-0.005647521,0.022489959,-0.02227168,-0.037343095,,
