Datetime,GwP_170 m (MPa),GwP_360 m  (MPa),GwP_424 m  (MPa),GwP_464 m  (MPa)
7:55:09 AM,1.653045,3.535712,4.162983,4.494918
7:55:09 AM,1.653045,3.535686,4.162983,4.494901
7:55:09 AM,1.65302,3.535686,4.16303,4.49492
7:55:09 AM,1.65302,3.535712,4.16303,4.494901
7:55:09 AM,1.653045,3.535712,4.162983,4.494918
7:55:09 AM,1.653045,3.535682,4.163008,4.494918
7:55:09 AM,1.65302,3.535712,4.16303,4.494901
7:55:09 AM,1.652995,3.535712,4.162983,4.49492
7:55:09 AM,1.65302,3.535712,4.163006,4.494901
7:55:09 AM,1.652995,3.535686,4.16303,4.49492
7:55:09 AM,1.65302,3.535712,4.16303,4.494938
7:55:09 AM,1.65302,3.535712,4.16303,4.494901
7:55:09 AM,1.65302,3.535712,4.16303,4.494918
7:55:09 AM,1.653045,3.535712,4.163006,4.494901
7:55:09 AM,1.65302,3.535686,4.163006,4.494901
7:55:09 AM,1.653045,3.535686,4.16303,4.494938
7:55:09 AM,1.653045,3.535656,4.162983,4.494918
7:55:09 AM,1.65302,3.535686,4.162983,4.494918
7:55:09 AM,1.65302,3.535712,4.16303,4.494901
7:55:09 AM,1.65302,3.535656,4.162983,4.494918
7:55:09 AM,1.65302,3.535656,4.16303,4.494918
7:55:09 AM,1.652995,3.535686,4.163008,4.494901
7:55:09 AM,1.652995,3.535712,4.163008,4.494918
7:55:09 AM,1.65302,3.535712,4.16303,4.494918
7:55:09 AM,1.65302,3.535686,4.162983,4.494918
7:55:09 AM,1.653045,3.535712,4.163006,4.494901
7:55:09 AM,1.653045,3.535686,4.163008,4.494901
7:55:09 AM,1.653045,3.535712,4.163008,4.49492
7:55:09 AM,1.653045,3.535712,4.163008,4.49492
7:55:09 AM,1.653045,3.535712,4.163008,4.49492
7:55:09 AM,1.653045,3.535712,4.163052,4.494957
7:55:09 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.49494
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494938
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.49494
7:55:10 AM,1.653045,3.535712,4.16303,4.49494
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.49494
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.494938
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494955
7:55:10 AM,1.653045,3.535686,4.163052,4.494938
7:55:10 AM,1.653045,3.535686,4.163052,4.494938
7:55:10 AM,1.653045,3.535686,4.163052,4.494938
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.65307,3.535686,4.163052,4.494957
7:55:10 AM,1.65307,3.535686,4.163052,4.494957
7:55:10 AM,1.65307,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535686,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494938
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.163052,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.494957
7:55:10 AM,1.653045,3.535712,4.16303,4.49494
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.65307,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.163008,4.49492
7:55:10 AM,1.653045,3.535712,4.163008,4.49492
7:55:10 AM,1.653045,3.535712,4.163008,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.163008,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535686,4.16303,4.494918
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535686,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.653045,3.535712,4.16303,4.49492
7:55:10 AM,1.65302,3.535712,4.16303,4.494918
7:55:10 AM,1.65302,3.535712,4.163006,4.494918
7:55:10 AM,1.65302,3.535686,4.163008,4.494901
7:55:10 AM,1.65302,3.535686,4.16303,4.494901
7:55:10 AM,1.653045,3.535656,4.16303,4.494938
7:55:10 AM,1.653045,3.535686,4.16303,4.494918
7:55:10 AM,1.653044,3.535743,4.163052,4.49492
7:55:10 AM,1.653045,3.535743,4.163028,4.49492
7:55:10 AM,1.653044,3.535743,4.16303,4.494957
7:55:10 AM,1.65302,3.535743,4.163028,4.494938
7:55:10 AM,1.653044,3.535743,4.163052,4.49492
7:55:10 AM,1.653045,3.535743,4.16303,4.49492
7:55:10 AM,1.653044,3.535743,4.163052,4.494957
7:55:10 AM,1.65302,3.535743,4.163052,4.49494
7:55:10 AM,1.65307,3.535743,4.163028,4.49494
7:55:10 AM,1.65302,3.535686,4.163052,4.494957
7:55:10 AM,1.65302,3.535743,4.163006,4.494938
7:55:10 AM,1.653045,3.535743,4.163028,4.49492
7:55:10 AM,1.65302,3.535743,4.16303,4.494957
7:55:10 AM,1.653044,3.535738,4.16303,4.494938
