Datetime,GwP_170 m (MPa),GwP_360 m  (MPa),GwP_424 m  (MPa),GwP_464 m  (MPa)
7:30:34 AM,1.653244,3.53589,4.163118,4.495063
7:30:34 AM,1.653244,3.535859,4.163095,4.495065
7:30:34 AM,1.653244,3.53589,4.163095,4.495063
7:30:34 AM,1.65322,3.53589,4.163095,4.495083
7:30:34 AM,1.653244,3.53589,4.163095,4.495063
7:30:34 AM,1.653244,3.535859,4.163118,4.495046
7:30:34 AM,1.653244,3.535916,4.163095,4.495063
7:30:34 AM,1.653244,3.53589,4.163095,4.495065
7:30:34 AM,1.65322,3.53589,4.163095,4.495063
7:30:34 AM,1.653244,3.535859,4.163095,4.495046
7:30:34 AM,1.653244,3.53589,4.163095,4.495063
7:30:34 AM,1.653244,3.535859,4.163095,4.495046
7:30:34 AM,1.653244,3.53589,4.163118,4.495046
7:30:34 AM,1.65322,3.535859,4.163095,4.495063
7:30:34 AM,1.653244,3.535916,4.163095,4.495063
7:30:34 AM,1.653244,3.535885,4.163095,4.495046
7:30:34 AM,1.65322,3.535859,4.163119,4.495046
7:30:34 AM,1.653244,3.535916,4.163095,4.495065
7:30:34 AM,1.653219,3.53589,4.163118,4.495046
7:30:34 AM,1.653244,3.535916,4.163095,4.495083
7:30:34 AM,1.653219,3.535859,4.163118,4.495063
7:30:34 AM,1.65327,3.53589,4.163118,4.495065
7:30:34 AM,1.653244,3.53589,4.163095,4.495063
7:30:34 AM,1.653244,3.535916,4.163118,4.495083
7:30:34 AM,1.65322,3.53589,4.163142,4.495046
7:30:34 AM,1.65322,3.53589,4.163095,4.495063
7:30:34 AM,1.653244,3.535885,4.163118,4.495063
7:30:34 AM,1.653244,3.535859,4.163118,4.495046
7:30:34 AM,1.653244,3.535859,4.163095,4.495063
7:30:34 AM,1.653244,3.53589,4.163095,4.495083
7:30:34 AM,1.653244,3.53589,4.163071,4.495046
7:30:34 AM,1.653244,3.535885,4.163071,4.495063
7:30:34 AM,1.65327,3.53589,4.163095,4.495046
7:30:34 AM,1.65327,3.535859,4.163095,4.495046
7:30:34 AM,1.65322,3.535885,4.163071,4.495063
7:30:34 AM,1.653244,3.535916,4.163118,4.495083
7:30:34 AM,1.65327,3.535859,4.163118,4.495083
7:30:34 AM,1.653244,3.535859,4.163118,4.495046
7:30:34 AM,1.653244,3.535916,4.163095,4.495063
7:30:34 AM,1.65327,3.53589,4.163118,4.495083
7:30:34 AM,1.653244,3.53589,4.163071,4.495063
7:30:34 AM,1.653194,3.535859,4.163073,4.495065
7:30:34 AM,1.653194,3.535859,4.163073,4.495065
7:30:34 AM,1.653194,3.535859,4.163095,4.495065
7:30:34 AM,1.65322,3.535859,4.163095,4.495063
7:30:34 AM,1.653244,3.535916,4.163118,4.495083
7:30:34 AM,1.653244,3.53589,4.163118,4.495063
7:30:34 AM,1.653244,3.535859,4.163118,4.495065
7:30:34 AM,1.653244,3.53589,4.163095,4.495065
7:30:34 AM,1.65322,3.53589,4.163118,4.495083
7:30:34 AM,1.653244,3.53589,4.163071,4.495083
7:30:34 AM,1.653244,3.53589,4.163095,4.495046
